designacao,cre,alf_le_resultado,alf_le_meta_2026,alf_le_crescimento_esperado,alf_mat_resultado,alf_mat_meta_2026,alf_mat_crescimento_esperado,iderio_4_resultado,iderio_4_meta_2026,iderio_4_crescimento_esperado,iderio_5_resultado,iderio_5_meta_2026,iderio_5_crescimento_esperado,indicador_rendimento_ai_resultado,indicador_rendimento_ai_meta_2026,indicador_rendimento_ai_crescimento_esperado,iderio_8_resultado,iderio_8_meta_2026,iderio_8_crescimento_esperado,iderio_9_resultado,iderio_9_meta_2026,iderio_9_crescimento_esperado,indicador_rendimento_af_resultado,indicador_rendimento_af_meta_2026,indicador_rendimento_af_crescimento_esperado
101001,1,,,,,,,,,,,,,,,,3.9,4.7,0.8,4.3,5.2,0.9,,,
101003,1,64.0,69.0,5.0,65.0,69.0,4.0,5.0,5.6,0.6,5.8,6.4,0.6,,,,,,,,,,,,
101004,1,54.0,60.0,6.0,92.0,93.0,1.0,4.8,5.4,0.6,4.6,5.6,1.0,,,,4.0,4.7,0.7,4.4,5.1,0.7,,,
101005,1,54.0,60.0,6.0,48.0,60.0,12.0,4.8,5.4,0.6,5.7,6.3,0.6,,,,,,,,,,0.99,0.99,0.0
101006,1,67.0,71.0,4.0,86.0,88.0,2.0,5.0,5.6,0.6,6.1,6.6,0.5,,,,,,,,,,,,
101007,1,,,,,,,,,,,,,,,,4.4,4.9,0.5,4.8,5.3,0.5,,,
101008,1,71.0,75.0,4.0,89.0,90.0,1.0,5.4,5.9,0.5,6.1,6.7,0.6,,,,,,,,,,,,
101009,1,,,,,,,,,,,,,,,,4.3,4.8,0.5,4.9,5.4,0.5,,,
101011,1,,,,,,,,,,,,,,,,4.9,5.2,0.3,5.2,5.6,0.4,,,
101012,1,60.0,65.0,5.0,79.0,82.0,3.0,5.3,5.8,0.5,6.4,6.8,0.4,,,,,,,,,,,,
101501,1,57.0,63.0,6.0,61.0,65.0,4.0,4.9,5.5,0.6,5.4,6.2,0.8,,,,,,,,,,,,
102001,1,,,,,,,,,,,,,,,,4.7,5.1,0.4,5.5,5.8,0.3,,,
102002,1,81.0,83.0,2.0,86.0,88.0,2.0,5.7,6.0,0.3,7.0,7.2,0.2,,,,,,,,,,,,
102004,1,,,,,,,,,,,,,,,,4.4,5.0,0.6,4.4,5.2,0.8,,,
102005,1,,,,,,,,,,,,,,,,4.6,5.0,0.4,5.0,5.5,0.5,,,
102006,1,66.0,70.0,4.0,48.0,60.0,12.0,5.7,6.0,0.3,6.0,6.5,0.5,,,,,,,,,,,,
102007,1,,,,,,,,,,,,,,,,5.1,5.2,0.1,5.9,6.0,0.1,,,
102501,1,62.0,67.0,5.0,61.0,65.0,4.0,5.4,5.8,0.4,5.7,6.4,0.7,,,,,,,,,,,,
102505,1,73.0,76.0,3.0,81.0,83.0,2.0,4.9,5.5,0.6,5.7,6.4,0.7,,,,,,,,,,,,
103001,1,60.0,65.0,5.0,65.0,69.0,4.0,4.8,5.4,0.6,5.2,6.1,0.9,,,,3.7,4.5,0.8,4.7,5.3,0.6,,,
103003,1,51.0,58.0,7.0,61.0,65.0,4.0,5.2,5.8,0.6,5.1,5.9,0.8,,,,,,,,,,0.99,0.99,0.0
103004,1,81.0,83.0,2.0,78.0,81.0,3.0,5.7,6.0,0.3,6.2,6.6,0.4,,,,5.2,5.3,0.1,5.4,5.7,0.3,,,
103005,1,65.0,70.0,5.0,63.0,67.0,4.0,6.0,6.1,0.1,6.4,6.8,0.4,,,,,,,,,,,,
103006,1,,,,,,,,,,,,,,,,3.5,4.3,0.8,4.0,4.8,0.8,,,
103501,1,75.0,78.0,3.0,87.0,89.0,2.0,5.2,5.8,0.6,6.5,6.9,0.4,,,,,,,,,,,,
103502,1,48.0,55.0,7.0,62.0,66.0,4.0,5.1,5.7,0.6,5.2,6.1,0.9,,,,,,,,,,,,
107001,1,,,,,,,,,,,,,,,,4.4,4.8,0.4,5.0,5.5,0.5,,,
107002,1,,,,,,,,,,,,,,,,5.3,5.4,0.1,6.1,6.2,0.1,,,
107003,1,68.0,72.0,4.0,75.0,78.0,3.0,5.7,6.0,0.3,6.4,6.9,0.5,,,,,,,,,,0.99,0.99,0.0
107004,1,45.0,52.0,7.0,63.0,67.0,4.0,5.7,6.0,0.3,6.6,7.0,0.4,,,,,,,,,,,,
107005,1,63.0,68.0,5.0,71.0,74.0,3.0,5.5,5.9,0.4,6.2,6.7,0.5,,,,,,,,,,0.99,0.99,0.0
107006,1,76.0,79.0,3.0,53.0,60.0,7.0,6.3,6.2,0.0,6.4,6.8,0.4,,,,,,,,,,,,
107007,1,59.0,64.0,5.0,58.0,62.0,4.0,6.1,6.2,0.1,,,,,,,,,,,,,,,
107008,1,64.0,69.0,5.0,92.0,93.0,1.0,,,,,,,0.98,0.99,0.01,,,,,,,,,
107009,1,,,,,,,,,,,,,,,,4.1,4.8,0.7,4.4,5.1,0.7,,,
107011,1,,,,,,,,,,,,,,,,4.5,5.0,0.5,4.8,5.4,0.6,,,
107012,1,28.0,50.0,22.0,77.0,80.0,3.0,6.0,6.2,0.2,5.5,6.2,0.7,,,,,,,,,,,,
107013,1,42.0,50.0,8.0,54.0,60.0,6.0,5.1,5.7,0.6,5.1,6.0,0.9,,,,,,,,,,,,
107016,1,64.0,69.0,5.0,77.0,80.0,3.0,6.3,6.2,0.0,7.4,7.5,0.1,,,,,,,,,,,,
107017,1,,,,,,,,,,,,,,,,3.7,4.5,0.8,4.2,5.0,0.8,,,
107501,1,59.0,65.0,6.0,67.0,71.0,4.0,5.4,5.9,0.5,5.8,6.5,0.7,,,,,,,,,,,,
107502,1,70.0,74.0,4.0,87.0,89.0,2.0,5.8,6.1,0.3,5.9,6.6,0.7,,,,,,,,,,0.99,0.99,0.0
121001,1,83.0,85.0,2.0,81.0,83.0,2.0,5.6,6.0,0.4,5.8,6.5,0.7,,,,5.7,5.8,0.1,5.3,5.6,0.3,,,
123001,1,85.0,87.0,2.0,45.0,60.0,15.0,6.1,6.2,0.1,6.6,7.0,0.4,,,,,,,,,,,,
123002,1,82.0,84.0,2.0,61.0,65.0,4.0,5.3,5.8,0.5,5.9,6.5,0.6,,,,5.5,5.6,0.1,6.3,6.4,0.1,,,
123003,1,67.0,71.0,4.0,80.0,82.0,2.0,5.0,5.6,0.6,5.4,6.1,0.7,,,,,,,,,,,,
123004,1,,,,,,,,,,,,,,,,4.7,5.0,0.3,5.7,5.8,0.1,,,
204001,2,,,,,,,,,,,,,,,,4.9,5.2,0.3,5.8,5.9,0.1,,,
204002,2,80.0,82.0,2.0,96.0,96.0,0.0,5.8,6.0,0.2,6.7,7.0,0.3,,,,,,,,,,,,
204003,2,88.0,89.0,1.0,86.0,88.0,2.0,6.4,6.2,0.0,7.5,7.5,0.0,,,,,,,,,,,,
204004,2,78.0,81.0,3.0,82.0,84.0,2.0,4.9,5.5,0.6,6.0,6.6,0.6,,,,,,,,,,,,
204005,2,,,,,,,,,,,,,,,,5.2,5.3,0.1,5.7,5.8,0.1,,,
204006,2,82.0,84.0,2.0,95.0,95.0,0.0,6.1,6.2,0.1,7.4,7.5,0.1,,,,,,,,,,,,
204007,2,48.0,55.0,7.0,70.0,73.0,3.0,5.9,6.1,0.2,5.9,6.5,0.6,,,,,,,,,,,,
204008,2,87.0,88.0,1.0,76.0,79.0,3.0,6.1,6.2,0.1,6.5,6.9,0.4,,,,,,,,,,,,
204009,2,40.0,50.0,10.0,57.0,61.0,4.0,4.2,4.8,0.6,5.6,6.3,0.7,,,,,,,,,,,,
204010,2,71.0,75.0,4.0,74.0,77.0,3.0,6.0,6.1,0.1,6.9,7.2,0.3,,,,,,,,,,,,
204011,2,,,,,,,,,,,,,,,,4.9,5.2,0.3,5.5,5.8,0.3,,,
204012,2,70.0,74.0,4.0,71.0,74.0,3.0,5.4,5.9,0.5,5.9,6.5,0.6,,,,,,,,,,,,
204014,2,,,,,,,,,,,,,,,,5.5,5.6,0.1,5.7,5.8,0.1,,,
204015,2,,,,,,,,,,,,,,,,5.6,5.7,0.1,6.2,6.3,0.1,,,
204017,2,,,,,,,,,,,,,,,,5.0,5.2,0.2,5.5,5.7,0.2,,,
204018,2,96.0,96.0,0.0,78.0,81.0,3.0,5.8,6.0,0.2,7.2,7.3,0.1,,,,5.7,5.8,0.1,5.6,5.8,0.2,,,
204019,2,89.0,90.0,1.0,87.0,89.0,2.0,6.0,6.1,0.1,7.1,7.2,0.1,,,,4.9,5.2,0.3,5.3,5.7,0.4,,,
204021,2,93.0,93.0,0.0,100.0,100.0,0.0,6.5,6.2,0.0,6.2,6.8,0.6,,,,,,,,,,,,
204501,2,75.0,78.0,3.0,74.0,77.0,3.0,5.6,6.0,0.4,5.8,6.5,0.7,,,,,,,,,,,,
204502,2,77.0,80.0,3.0,67.0,70.0,3.0,5.3,5.8,0.5,6.4,6.8,0.4,,,,,,,,,,,,
205001,2,84.0,86.0,2.0,86.0,88.0,2.0,5.1,5.7,0.6,5.7,6.3,0.6,,,,4.9,5.1,0.2,5.0,5.4,0.4,,,
205003,2,69.0,73.0,4.0,77.0,80.0,3.0,6.1,6.2,0.1,6.4,6.8,0.4,,,,,,,,,,,,
205004,2,87.0,88.0,1.0,87.0,89.0,2.0,6.0,6.1,0.1,6.9,7.1,0.2,,,,5.0,5.2,0.2,6.2,6.3,0.1,,,
205006,2,100.0,100.0,0.0,91.0,92.0,1.0,5.9,6.1,0.2,6.8,7.1,0.3,,,,,,,,,,,,
205007,2,90.0,91.0,1.0,90.0,91.0,1.0,5.9,6.1,0.2,6.9,7.2,0.3,,,,,,,,,,0.99,0.99,0.0
205008,2,47.0,54.0,7.0,62.0,66.0,4.0,4.7,5.3,0.6,4.3,5.3,1.0,,,,3.7,4.5,0.8,4.2,5.2,1.0,,,
205009,2,,,,,,,,,,,,,,,,5.1,5.2,0.1,5.3,5.7,0.4,,,
206001,2,75.0,78.0,3.0,56.0,60.0,4.0,,,,,,,1.0,0.99,0.0,,,,,,,,,
206002,2,,,,,,,,,,,,,,,,4.4,4.9,0.5,5.0,5.5,0.5,,,
206003,2,67.0,71.0,4.0,75.0,78.0,3.0,5.3,5.8,0.5,5.6,6.3,0.7,,,,4.7,5.1,0.4,4.9,5.4,0.5,,,
